gameName,frameRate,usageLogID,entryID,entryType,innerZoneRadius,outerZoneRadius,class,PreRampSpeed,PostRampSpeed,targetClass,userInnerRingRadius,userOuterRingRadius,emgChan1,emgChan2,emgChan3,emgChan4,emgChan5,emgChan6,emgChan7,emgChan8
In the Zone,50ms,202,0,1,,,0,0,0,,,,717,446,502,612,428,271,253,271
In the Zone,50ms,202,1,1,,,0,0,0,,,,652,465,443,590,400,249,251,261
In the Zone,50ms,202,2,1,,,0,0,0,,,,670,438,414,598,387,251,263,276
In the Zone,50ms,202,3,1,,,0,0,0,,,,802,431,441,581,351,233,244,259
In the Zone,50ms,202,4,1,,,0,0,0,,,,770,413,434,538,336,219,213,247
In the Zone,50ms,202,5,1,,,0,0,0,,,,770,413,434,538,336,219,213,247
In the Zone,50ms,202,6,1,,,0,0,0,,,,751,392,397,590,386,214,232,244
In the Zone,50ms,202,7,1,,,0,0,0,,,,721,397,372,558,388,232,232,248
In the Zone,50ms,202,8,1,,,0,0,0,,,,732,354,392,572,373,226,271,252
In the Zone,50ms,202,9,1,,,0,0,0,,,,781,359,410,524,358,224,260,250
In the Zone,50ms,202,10,1,,,0,0,0,,,,814,343,400,468,329,226,244,244
In the Zone,50ms,202,11,1,,,0,0,0,,,,745,343,398,482,320,209,242,236
In the Zone,50ms,202,12,1,,,0,0,0,,,,788,348,424,498,333,217,230,233
In the Zone,50ms,202,13,1,,,0,0,0,,,,756,364,456,538,338,218,219,233
In the Zone,50ms,202,14,1,,,0,0,0,,,,718,342,467,541,327,217,228,204
In the Zone,50ms,202,15,1,,,0,0,0,,,,779,319,458,506,313,214,230,191
In the Zone,50ms,202,16,1,,,0,0,0,,,,770,360,436,460,320,204,199,181
In the Zone,50ms,202,17,1,,,0,0,0,,,,769,340,407,458,344,228,216,205
In the Zone,50ms,202,18,1,,,0,0,0,,,,723,346,400,463,344,231,209,229
In the Zone,50ms,202,19,1,,,0,0,0,,,,723,346,400,463,344,231,209,229
In the Zone,50ms,202,20,1,,,0,0,0,,,,658,338,374,459,298,232,242,266
In the Zone,50ms,202,21,1,,,0,0,0,,,,657,365,367,440,279,223,244,257
In the Zone,50ms,202,22,1,,,0,0,0,,,,687,414,480,484,293,239,266,294
In the Zone,50ms,202,23,1,,,0,0,0,,,,698,394,485,512,298,244,266,269
In the Zone,50ms,202,24,1,,,0,0,0,,,,656,399,497,540,350,262,244,279
In the Zone,50ms,202,25,1,,,0,0,0,,,,645,448,534,577,356,262,222,278
In the Zone,50ms,202,26,1,,,0,0,0,,,,635,435,472,602,344,257,231,239
In the Zone,50ms,202,27,1,,,0,0,0,,,,594,432,449,644,349,254,219,238
In the Zone,50ms,202,28,1,,,0,0,0,,,,586,458,452,701,346,242,240,252
In the Zone,50ms,202,29,1,,,0,0,0,,,,621,388,435,731,365,259,253,263
In the Zone,50ms,202,30,1,,,0,0,0,,,,579,360,366,692,376,241,222,277
In the Zone,50ms,202,31,1,,,0,0,0,,,,557,359,370,654,376,234,223,296
In the Zone,50ms,202,32,1,,,0,0,0,,,,746,361,372,583,384,227,212,276
In the Zone,50ms,202,33,1,,,0,0,0,,,,723,364,405,512,333,193,189,266
In the Zone,50ms,202,34,1,,,0,0,0,,,,766,336,479,542,337,211,198,255
In the Zone,50ms,202,35,1,,,0,0,0,,,,879,372,503,550,354,229,197,256
In the Zone,50ms,202,36,1,,,0,0,0,,,,762,344,500,582,340,236,222,260
In the Zone,50ms,202,37,1,,,0,0,0,,,,762,344,500,582,340,236,222,260
In the Zone,50ms,202,38,1,,,0,0,0,,,,852,416,447,607,389,244,245,254
In the Zone,50ms,202,39,1,,,0,0,0,,,,834,410,473,639,381,226,246,254
In the Zone,50ms,202,40,1,,,0,0,0,,,,787,416,527,667,383,239,241,254
In the Zone,50ms,202,41,1,,,0,0,0,,,,866,396,568,605,358,245,224,258
In the Zone,50ms,202,42,1,,,0,0,0,,,,785,402,570,571,339,225,222,256
In the Zone,50ms,202,43,1,,,0,0,0,,,,747,438,570,519,328,243,224,256
In the Zone,50ms,202,44,1,,,0,0,0,,,,763,452,478,466,335,243,213,279
In the Zone,50ms,202,45,1,,,0,0,0,,,,642,449,423,476,353,253,231,316
In the Zone,50ms,202,46,1,,,0,0,0,,,,633,417,387,532,428,283,236,307
In the Zone,50ms,202,47,1,,,0,0,0,,,,628,444,382,571,446,280,249,324
In the Zone,50ms,202,48,1,,,0,0,0,,,,629,441,423,567,436,294,251,307
In the Zone,50ms,202,49,1,,,0,0,0,,,,684,434,422,569,426,290,255,266
In the Zone,50ms,202,50,1,,,0,0,0,,,,744,439,416,549,351,260,245,257
In the Zone,50ms,202,51,1,,,0,0,0,,,,838,381,403,537,329,249,211,228
In the Zone,50ms,202,52,1,,,0,0,0,,,,834,409,396,543,323,217,218,227
In the Zone,50ms,202,53,1,,,0,0,0,,,,804,404,428,579,315,218,211,229
