gameName,frameRate,usageLogID,entryID,entryType,innerZoneRadius,outerZoneRadius,class,PreRampSpeed,PostRampSpeed,targetClass,userInnerRingRadius,userOuterRingRadius,emgChan1,emgChan2,emgChan3,emgChan4,emgChan5,emgChan6,emgChan7,emgChan8
In the Zone,50ms,75,0,1,,,0,0,0,,,,405,342,234,180,204,187,247,243
In the Zone,50ms,75,1,1,,,0,0,0,,,,335,290,231,175,187,183,221,232
In the Zone,50ms,75,2,1,,,0,0,0,,,,337,289,242,166,182,160,197,240
In the Zone,50ms,75,3,1,,,0,0,0,,,,365,282,270,170,199,198,256,245
In the Zone,50ms,75,4,1,,,0,0,0,,,,360,290,274,161,196,203,292,283
In the Zone,50ms,75,5,1,,,0,0,0,,,,346,273,270,160,193,197,281,276
In the Zone,50ms,75,6,1,,,0,0,0,,,,359,272,252,147,190,193,277,264
In the Zone,50ms,75,7,1,,,0,0,0,,,,309,256,221,141,186,167,220,251
In the Zone,50ms,75,8,1,,,0,0,0,,,,310,261,231,138,185,159,227,236
In the Zone,50ms,75,9,1,,,0,0,0,,,,320,268,241,127,172,156,229,238
In the Zone,50ms,75,10,1,,,0,0,0,,,,336,280,275,138,176,170,233,252
In the Zone,50ms,75,11,1,,,0,0,0,,,,379,297,298,145,170,158,259,257
In the Zone,50ms,75,12,1,,,0,0,0,,,,402,268,295,154,185,172,262,256
In the Zone,50ms,75,13,1,,,0,0,0,,,,396,255,283,154,179,162,263,247
In the Zone,50ms,75,14,1,,,0,0,0,,,,380,241,248,142,172,150,264,232
In the Zone,50ms,75,15,1,,,0,0,0,,,,323,225,213,130,162,137,254,236
In the Zone,50ms,75,16,1,,,0,0,0,,,,298,227,192,113,155,132,226,222
In the Zone,50ms,75,17,1,,,0,0,0,,,,319,269,206,114,175,145,243,266
In the Zone,50ms,75,18,1,,,0,0,0,,,,292,263,205,128,196,167,244,266
In the Zone,50ms,75,19,1,,,0,0,0,,,,305,287,194,134,209,192,258,275
In the Zone,50ms,75,20,1,,,0,0,0,,,,344,334,223,154,218,229,285,299
In the Zone,50ms,75,21,1,,,0,0,0,,,,375,337,230,159,239,233,325,297
In the Zone,50ms,75,22,1,,,0,0,0,,,,388,363,235,155,235,223,346,334
In the Zone,50ms,75,23,1,,,0,0,0,,,,422,337,270,162,297,270,345,310
In the Zone,50ms,75,24,1,,,0,0,0,,,,415,296,255,166,345,259,335,292
In the Zone,50ms,75,25,1,,,0,0,0,,,,415,296,255,166,345,259,335,292
In the Zone,50ms,75,26,1,,,0,0,0,,,,386,289,259,150,331,266,289,265
In the Zone,50ms,75,27,1,,,0,0,0,,,,386,289,259,150,331,266,289,265
In the Zone,50ms,75,28,1,,,0,0,0,,,,364,341,273,145,280,218,306,315
In the Zone,50ms,75,29,1,,,0,0,0,,,,336,362,270,124,209,196,272,339
