gameName,frameRate,usageLogID,entryID,entryType,innerZoneRadius,outerZoneRadius,class,PreRampSpeed,PostRampSpeed,targetClass,userInnerRingRadius,userOuterRingRadius,emgChan1,emgChan2,emgChan3,emgChan4,emgChan5,emgChan6,emgChan7,emgChan8
In the Zone,50ms,157,0,1,,,0,0,0,,,,1265,681,389,591,342,230,288,403
In the Zone,50ms,157,1,1,,,0,0,0,,,,827,639,392,528,335,206,278,381
In the Zone,50ms,157,2,1,,,17,53,7,,,,849,655,362,543,370,213,249,362
In the Zone,50ms,157,3,1,,,0,0,0,,,,861,658,348,537,354,194,249,319
In the Zone,50ms,157,4,1,,,0,0,0,,,,889,641,363,537,353,188,238,308
In the Zone,50ms,157,5,1,,,0,0,0,,,,902,631,331,529,375,212,236,324
In the Zone,50ms,157,6,1,,,0,0,0,,,,1025,666,373,492,361,221,295,371
In the Zone,50ms,157,7,1,,,0,0,0,,,,983,599,439,487,356,239,285,391
In the Zone,50ms,157,8,1,,,17,60,8,,,,979,730,449,486,348,240,292,392
In the Zone,50ms,157,9,1,,,17,60,17,,,,900,776,444,537,323,215,304,406
In the Zone,50ms,157,10,1,,,0,0,0,,,,808,749,437,537,306,212,263,387
In the Zone,50ms,157,11,1,,,0,0,0,,,,781,780,362,543,307,206,262,377
In the Zone,50ms,157,12,1,,,0,0,0,,,,768,669,339,560,312,216,264,366
In the Zone,50ms,157,13,1,,,0,0,0,,,,876,690,353,502,296,224,246,402
In the Zone,50ms,157,14,1,,,0,0,0,,,,879,683,323,552,334,235,233,403
In the Zone,50ms,157,15,1,,,0,0,0,,,,919,649,339,542,330,230,234,387
In the Zone,50ms,157,16,1,,,0,0,0,,,,920,711,343,546,329,229,227,401
In the Zone,50ms,157,17,1,,,0,0,0,,,,1010,653,355,582,361,242,250,354
In the Zone,50ms,157,18,1,,,0,0,0,,,,861,673,349,532,324,230,270,325
In the Zone,50ms,157,19,1,,,0,0,0,,,,868,736,345,537,334,236,271,346
In the Zone,50ms,157,20,1,,,0,0,0,,,,923,645,325,515,323,232,301,354
In the Zone,50ms,157,21,1,,,0,0,0,,,,878,667,313,501,318,216,284,364
In the Zone,50ms,157,22,1,,,0,0,0,,,,1083,657,321,504,338,209,272,421
In the Zone,50ms,157,23,1,,,0,0,0,,,,1105,653,348,505,343,219,276,418
In the Zone,50ms,157,24,1,,,0,0,0,,,,1073,656,342,490,365,223,261,412
In the Zone,50ms,157,25,1,,,0,0,0,,,,958,653,335,479,361,217,245,409
In the Zone,50ms,157,26,1,,,0,0,0,,,,761,626,326,464,338,215,250,361
In the Zone,50ms,157,27,1,,,0,0,0,,,,761,626,326,464,338,215,250,361
In the Zone,50ms,157,28,1,,,0,0,0,,,,857,768,349,468,324,205,277,398
In the Zone,50ms,157,29,1,,,0,0,0,,,,1032,789,393,479,333,208,289,415
In the Zone,50ms,157,30,1,,,0,0,0,,,,1069,884,416,499,338,206,284,424
In the Zone,50ms,157,31,1,,,17,70,10,,,,1129,949,458,500,327,218,273,402
In the Zone,50ms,157,32,1,,,17,66,18,,,,1104,849,426,519,333,217,272,397
In the Zone,50ms,157,33,1,,,17,63,27,,,,958,855,379,540,327,221,300,408
In the Zone,50ms,157,34,1,,,17,64,36,,,,978,791,385,530,340,243,321,440
In the Zone,50ms,157,35,1,,,17,62,44,,,,885,780,345,541,353,229,309,472
In the Zone,50ms,157,36,1,,,0,0,0,,,,815,755,328,544,346,228,298,442
In the Zone,50ms,157,37,1,,,0,0,0,,,,968,736,341,508,336,228,287,437
In the Zone,50ms,157,38,1,,,17,61,17,,,,962,792,329,559,345,213,279,417
In the Zone,50ms,157,39,1,,,17,60,25,,,,986,753,331,547,331,205,286,417
In the Zone,50ms,157,40,1,,,17,63,36,,,,1022,798,371,522,323,198,307,457
In the Zone,50ms,157,41,1,,,17,56,40,,,,868,767,396,520,314,189,272,422
In the Zone,50ms,157,42,1,,,17,51,43,,,,875,752,415,465,282,177,257,392
In the Zone,50ms,157,43,1,,,0,0,0,,,,832,678,415,502,328,195,272,361
In the Zone,50ms,157,44,1,,,0,0,0,,,,793,619,379,502,328,197,250,319
In the Zone,50ms,157,45,1,,,0,0,0,,,,807,609,345,502,341,209,258,325
In the Zone,50ms,157,46,1,,,0,0,0,,,,807,609,345,502,341,209,258,325
In the Zone,50ms,157,47,1,,,0,0,0,,,,1107,592,329,502,317,215,269,345
In the Zone,50ms,157,48,1,,,0,0,0,,,,1174,615,367,518,334,237,253,371
In the Zone,50ms,157,49,1,,,0,0,0,,,,1220,686,365,529,326,235,296,377
In the Zone,50ms,157,50,1,,,0,0,0,,,,1082,655,350,475,322,245,280,362
In the Zone,50ms,157,51,1,,,17,57,8,,,,1061,741,342,450,311,246,282,399
In the Zone,50ms,157,52,1,,,17,55,15,,,,1054,763,320,438,297,230,294,378
In the Zone,50ms,157,53,1,,,0,0,0,,,,1054,763,320,438,297,230,294,378
In the Zone,50ms,157,54,1,,,0,0,0,,,,1138,762,350,435,343,235,242,364
In the Zone,50ms,157,55,1,,,0,0,0,,,,1060,751,354,438,326,232,230,317
In the Zone,50ms,157,56,1,,,0,0,0,,,,1063,758,351,453,329,229,238,328
In the Zone,50ms,157,57,1,,,0,0,0,,,,1148,804,346,414,269,209,236,332
In the Zone,50ms,157,58,1,,,0,0,0,,,,963,732,356,453,284,218,243,364
In the Zone,50ms,157,59,1,,,0,0,0,,,,952,650,352,504,303,229,241,392
In the Zone,50ms,157,60,1,,,0,0,0,,,,952,650,352,504,303,229,241,392
In the Zone,50ms,157,61,0,0.15249,0.19941,0,0,0,17,,,954,531,433,577,345,235,242,380
In the Zone,50ms,157,62,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,997,596,494,560,335,222,237,388
In the Zone,50ms,157,63,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,981,618,532,510,329,206,282,426
In the Zone,50ms,157,64,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,955,684,505,508,318,202,276,440
In the Zone,50ms,157,65,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,876,685,457,458,318,213,266,437
In the Zone,50ms,157,66,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,852,717,402,408,299,195,269,386
