gameName,frameRate,usageLogID,entryID,entryType,innerZoneRadius,outerZoneRadius,class,PreRampSpeed,PostRampSpeed,targetClass,userInnerRingRadius,userOuterRingRadius,emgChan1,emgChan2,emgChan3,emgChan4,emgChan5,emgChan6,emgChan7,emgChan8
In the Zone,50ms,189,0,1,,,0,0,0,,,,983,840,466,183,155,170,189,341
In the Zone,50ms,189,1,1,,,0,0,0,,,,881,787,435,186,145,172,192,334
In the Zone,50ms,189,2,1,,,0,0,0,,,,897,879,497,210,151,203,200,395
In the Zone,50ms,189,3,1,,,0,0,0,,,,994,968,526,206,152,198,206,419
In the Zone,50ms,189,4,1,,,0,0,0,,,,914,755,468,181,148,187,178,350
In the Zone,50ms,189,5,1,,,0,0,0,,,,1010,749,483,182,156,179,171,342
In the Zone,50ms,189,6,1,,,0,0,0,,,,910,624,406,169,149,160,170,279
In the Zone,50ms,189,7,1,,,0,0,0,,,,952,535,407,180,148,169,172,246
In the Zone,50ms,189,8,1,,,0,0,0,,,,1028,579,385,188,157,161,176,226
In the Zone,50ms,189,9,1,,,0,0,0,,,,1125,684,433,201,152,167,181,255
In the Zone,50ms,189,10,1,,,0,0,0,,,,1257,787,473,202,145,159,182,268
In the Zone,50ms,189,11,1,,,0,0,0,,,,1181,828,453,191,142,155,180,282
In the Zone,50ms,189,12,1,,,0,0,0,,,,1038,809,484,183,139,154,182,321
In the Zone,50ms,189,13,1,,,0,0,0,,,,885,776,434,163,132,145,174,308
In the Zone,50ms,189,14,1,,,0,0,0,,,,793,720,410,157,137,162,166,317
In the Zone,50ms,189,15,1,,,0,0,0,,,,754,720,406,155,143,167,162,304
In the Zone,50ms,189,16,1,,,0,0,0,,,,889,800,367,154,140,165,153,275
In the Zone,50ms,189,17,1,,,0,0,0,,,,926,760,365,154,140,169,155,254
In the Zone,50ms,189,18,1,,,0,0,0,,,,953,814,352,159,133,158,155,259
In the Zone,50ms,189,19,1,,,0,0,0,,,,994,813,306,160,124,148,156,265
In the Zone,50ms,189,20,1,,,0,0,0,,,,994,813,306,160,124,148,156,265
In the Zone,50ms,189,21,1,,,0,0,0,,,,1102,811,294,168,137,167,169,266
In the Zone,50ms,189,22,1,,,0,0,0,,,,1130,755,286,165,150,169,171,248
In the Zone,50ms,189,23,1,,,0,0,0,,,,1159,758,312,182,163,169,176,256
In the Zone,50ms,189,24,1,,,0,0,0,,,,1026,703,335,183,155,154,161,254
In the Zone,50ms,189,25,1,,,0,0,0,,,,880,678,306,186,162,169,154,274
In the Zone,50ms,189,26,1,,,0,0,0,,,,862,650,337,186,156,171,167,276
In the Zone,50ms,189,27,1,,,0,0,0,,,,877,680,336,159,147,173,174,290
In the Zone,50ms,189,28,1,,,0,0,0,,,,935,688,379,147,146,170,170,282
In the Zone,50ms,189,29,1,,,0,0,0,,,,1040,753,374,150,134,160,176,257
In the Zone,50ms,189,30,1,,,0,0,0,,,,1024,744,380,157,131,154,167,268
In the Zone,50ms,189,31,1,,,0,0,0,,,,897,646,378,172,142,158,155,233
In the Zone,50ms,189,32,1,,,0,0,0,,,,993,667,340,179,136,166,166,267
In the Zone,50ms,189,33,1,,,0,0,0,,,,984,591,380,180,138,160,170,292
In the Zone,50ms,189,34,1,,,0,0,0,,,,1054,733,407,167,146,153,173,288
In the Zone,50ms,189,35,1,,,0,0,0,,,,1179,888,445,163,138,149,178,316
In the Zone,50ms,189,36,1,,,0,0,0,,,,1102,883,435,167,154,154,192,295
In the Zone,50ms,189,37,1,,,0,0,0,,,,1037,892,392,159,161,167,204,294
In the Zone,50ms,189,38,1,,,0,0,0,,,,1011,793,354,173,159,174,204,281
In the Zone,50ms,189,39,1,,,0,0,0,,,,972,720,334,186,155,165,202,270
In the Zone,50ms,189,40,1,,,0,0,0,,,,1033,803,335,206,148,153,184,285
In the Zone,50ms,189,41,1,,,0,0,0,,,,1010,765,339,216,137,136,169,285
In the Zone,50ms,189,42,1,,,0,0,0,,,,896,691,354,204,131,131,157,278
In the Zone,50ms,189,43,1,,,0,0,0,,,,902,662,392,210,150,142,157,280
In the Zone,50ms,189,44,1,,,0,0,0,,,,954,672,453,220,146,140,189,309
In the Zone,50ms,189,45,1,,,0,0,0,,,,1135,927,527,223,159,153,221,367
In the Zone,50ms,189,46,1,,,0,0,0,,,,1205,1025,524,234,164,154,233,400
In the Zone,50ms,189,47,1,,,0,0,0,,,,1169,987,494,220,154,155,224,378
In the Zone,50ms,189,48,1,,,0,0,0,,,,1078,886,451,205,168,152,198,325
In the Zone,50ms,189,49,1,,,0,0,0,,,,856,633,421,204,163,159,177,272
In the Zone,50ms,189,50,1,,,0,0,0,,,,903,589,413,203,161,167,181,260
In the Zone,50ms,189,51,1,,,0,0,0,,,,890,624,406,204,162,173,189,282
In the Zone,50ms,189,52,1,,,0,0,0,,,,974,689,417,207,158,183,193,313
In the Zone,50ms,189,53,1,,,0,0,0,,,,1067,846,449,212,159,169,197,336
In the Zone,50ms,189,54,1,,,0,0,0,,,,1069,888,456,218,160,166,195,353
In the Zone,50ms,189,55,1,,,0,0,0,,,,1098,925,489,222,164,156,190,365
In the Zone,50ms,189,56,1,,,0,0,0,,,,1026,988,508,256,166,155,197,384
In the Zone,50ms,189,57,1,,,0,0,0,,,,908,806,411,255,162,152,186,329
In the Zone,50ms,189,58,1,,,0,0,0,,,,833,743,390,245,160,142,180,304
In the Zone,50ms,189,59,1,,,0,0,0,,,,833,743,390,245,160,142,180,304
In the Zone,50ms,189,60,1,,,0,0,0,,,,766,629,281,237,172,193,191,259
In the Zone,50ms,189,61,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,871,667,322,247,184,208,191,306
In the Zone,50ms,189,62,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,847,637,328,272,192,214,183,302
In the Zone,50ms,189,63,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,813,557,306,261,178,198,171,266
In the Zone,50ms,189,64,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,803,539,327,253,169,172,159,235
In the Zone,50ms,189,65,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,716,517,288,251,162,169,152,197
In the Zone,50ms,189,66,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,716,517,288,251,162,169,152,197
In the Zone,50ms,189,67,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,884,625,360,223,157,168,194,254
In the Zone,50ms,189,68,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,889,644,407,255,159,169,199,271
In the Zone,50ms,189,69,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,888,822,480,268,158,170,221,336
In the Zone,50ms,189,70,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,768,856,436,321,166,174,204,325
In the Zone,50ms,189,71,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,710,846,424,379,192,187,197,331
In the Zone,50ms,189,72,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,697,815,367,361,196,183,186,316
In the Zone,50ms,189,73,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,734,697,318,343,198,174,165,257
In the Zone,50ms,189,74,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,822,674,373,337,194,181,161,252
In the Zone,50ms,189,75,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,942,715,358,284,182,177,156,270
In the Zone,50ms,189,76,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,946,734,377,325,188,179,154,269
In the Zone,50ms,189,77,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,972,735,390,326,191,193,166,260
In the Zone,50ms,189,78,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1005,715,377,343,216,189,164,255
In the Zone,50ms,189,79,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,935,677,363,356,222,184,171,245
In the Zone,50ms,189,80,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1027,712,345,362,228,191,173,261
In the Zone,50ms,189,81,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,976,672,339,431,253,196,170,273
In the Zone,50ms,189,82,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,920,642,323,437,252,201,170,278
In the Zone,50ms,189,83,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,945,566,341,464,248,202,165,241
In the Zone,50ms,189,84,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,946,497,356,445,252,218,173,239
In the Zone,50ms,189,85,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,957,481,340,410,230,202,160,244
In the Zone,50ms,189,86,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1008,495,397,380,210,197,171,235
In the Zone,50ms,189,87,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,832,566,435,427,235,196,172,234
In the Zone,50ms,189,88,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,823,660,440,426,242,179,167,248
In the Zone,50ms,189,89,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,859,732,451,435,260,187,171,243
In the Zone,50ms,189,90,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,903,896,458,448,260,186,178,266
In the Zone,50ms,189,91,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1019,907,453,396,266,197,176,285
In the Zone,50ms,189,92,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1019,907,453,396,266,197,176,285
In the Zone,50ms,189,93,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1133,897,500,398,248,206,185,291
In the Zone,50ms,189,94,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1109,799,477,378,249,204,158,273
In the Zone,50ms,189,95,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1106,783,418,368,220,201,160,272
In the Zone,50ms,189,96,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1165,841,370,388,223,198,169,275
