gameName,frameRate,usageLogID,entryID,entryType,innerZoneRadius,outerZoneRadius,class,PreRampSpeed,PostRampSpeed,targetClass,userInnerRingRadius,userOuterRingRadius,emgChan1,emgChan2,emgChan3,emgChan4,emgChan5,emgChan6,emgChan7,emgChan8
In the Zone,50ms,28,0,1,,,0,0,0,,,,645,428,328,171,164,167,166,176
In the Zone,50ms,28,1,1,,,0,0,0,,,,640,436,317,160,177,160,170,165
In the Zone,50ms,28,2,1,,,0,0,0,,,,710,443,317,152,172,159,168,167
In the Zone,50ms,28,3,1,,,0,0,0,,,,650,426,288,148,177,158,172,155
In the Zone,50ms,28,4,1,,,0,0,0,,,,650,426,288,148,177,158,172,155
In the Zone,50ms,28,5,1,,,0,0,0,,,,583,414,273,156,179,151,176,182
In the Zone,50ms,28,6,1,,,0,0,0,,,,583,414,273,156,179,151,176,182
In the Zone,50ms,28,7,1,,,0,0,0,,,,582,385,294,164,183,154,183,193
In the Zone,50ms,28,8,1,,,0,0,0,,,,707,364,388,183,185,167,199,188
In the Zone,50ms,28,9,1,,,0,0,0,,,,797,349,415,197,193,175,215,186
In the Zone,50ms,28,10,1,,,0,0,0,,,,797,349,415,197,193,175,215,186
In the Zone,50ms,28,11,1,,,0,0,0,,,,968,410,441,195,194,162,212,201
In the Zone,50ms,28,12,1,,,0,0,0,,,,868,409,325,164,171,148,176,182
In the Zone,50ms,28,13,1,,,0,0,0,,,,801,417,308,165,170,141,165,183
In the Zone,50ms,28,14,1,,,0,0,0,,,,654,435,299,171,167,163,167,202
In the Zone,50ms,28,15,1,,,0,0,0,,,,600,424,354,183,170,170,164,207
In the Zone,50ms,28,16,1,,,0,0,0,,,,563,459,380,198,186,174,177,222
In the Zone,50ms,28,17,1,,,0,0,0,,,,565,451,400,194,187,183,181,224
In the Zone,50ms,28,18,1,,,0,0,0,,,,629,388,362,186,185,186,174,201
In the Zone,50ms,28,19,1,,,0,0,0,,,,640,383,280,181,198,183,167,193
In the Zone,50ms,28,20,1,,,0,0,0,,,,631,352,251,198,340,278,182,181
In the Zone,50ms,28,21,1,,,0,0,0,,,,610,357,246,206,378,285,182,175
In the Zone,50ms,28,22,1,,,0,0,0,,,,612,389,260,219,381,279,183,178
In the Zone,50ms,28,23,1,,,0,0,0,,,,685,424,294,229,483,329,204,197
In the Zone,50ms,28,24,1,,,0,0,0,,,,730,445,318,208,372,264,183,212
In the Zone,50ms,28,25,1,,,0,0,0,,,,757,445,355,225,352,261,191,234
In the Zone,50ms,28,26,1,,,0,0,0,,,,719,423,381,230,361,260,202,233
In the Zone,50ms,28,27,1,,,0,0,0,,,,652,402,367,216,237,204,188,211
In the Zone,50ms,28,28,1,,,0,0,0,,,,652,402,367,216,237,204,188,211
In the Zone,50ms,28,29,1,,,0,0,0,,,,774,409,330,204,172,166,178,171
In the Zone,50ms,28,30,1,,,0,0,0,,,,771,414,293,189,163,164,175,165
In the Zone,50ms,28,31,1,,,0,0,0,,,,777,395,299,191,164,159,172,165
In the Zone,50ms,28,32,1,,,0,0,0,,,,764,372,302,167,159,167,173,171
In the Zone,50ms,28,33,1,,,0,0,0,,,,589,343,280,165,160,173,178,186
In the Zone,50ms,28,34,1,,,0,0,0,,,,620,324,284,158,154,171,178,191
In the Zone,50ms,28,35,1,,,0,0,0,,,,638,320,289,158,160,177,184,201
In the Zone,50ms,28,36,1,,,0,0,0,,,,666,312,270,172,161,179,178,194
In the Zone,50ms,28,37,1,,,0,0,0,,,,711,338,254,163,154,166,175,177
In the Zone,50ms,28,38,1,,,0,0,0,,,,699,369,254,166,163,164,168,173
In the Zone,50ms,28,39,1,,,0,0,0,,,,669,395,244,177,168,165,175,164
In the Zone,50ms,28,40,1,,,0,0,0,,,,645,433,283,177,186,169,192,173
In the Zone,50ms,28,41,1,,,0,0,0,,,,692,411,285,180,190,174,202,182
In the Zone,50ms,28,42,1,,,0,0,0,,,,654,420,278,177,192,167,212,187
In the Zone,50ms,28,43,1,,,0,0,0,,,,675,420,257,158,180,165,201,194
In the Zone,50ms,28,44,1,,,0,0,0,,,,638,441,254,162,175,157,200,219
In the Zone,50ms,28,45,1,,,0,0,0,,,,592,507,253,169,179,148,192,231
In the Zone,50ms,28,46,1,,,0,0,0,,,,612,471,256,189,183,149,203,232
In the Zone,50ms,28,47,1,,,0,0,0,,,,624,442,267,199,182,156,230,234
In the Zone,50ms,28,48,1,,,0,0,0,,,,668,413,256,194,167,165,219,219
In the Zone,50ms,28,49,1,,,0,0,0,,,,632,370,290,176,155,168,220,221
In the Zone,50ms,28,50,1,,,0,0,0,,,,667,408,322,174,162,162,209,233
In the Zone,50ms,28,51,1,,,0,0,0,,,,639,402,350,173,178,160,193,226
In the Zone,50ms,28,52,1,,,0,0,0,,,,664,430,357,194,191,164,206,238
In the Zone,50ms,28,53,1,,,0,0,0,,,,772,439,376,211,209,167,208,228
In the Zone,50ms,28,54,1,,,0,0,0,,,,712,444,388,205,218,190,211,222
In the Zone,50ms,28,55,1,,,0,0,0,,,,707,441,388,228,218,192,222,232
In the Zone,50ms,28,56,1,,,0,0,0,,,,668,418,370,207,206,187,208,210
In the Zone,50ms,28,57,1,,,0,0,0,,,,572,404,296,197,190,183,209,197
In the Zone,50ms,28,58,1,,,0,0,0,,,,663,404,263,184,160,162,200,179
In the Zone,50ms,28,59,1,,,0,0,0,,,,697,464,232,163,141,160,176,167
In the Zone,50ms,28,60,1,,,0,0,0,,,,736,528,256,152,148,149,168,170
In the Zone,50ms,28,61,1,,,0,0,0,,,,883,564,273,157,154,147,158,186
In the Zone,50ms,28,62,0,0.15249,0.19941,0,0,0,17,,,850,557,266,164,148,145,149,187
In the Zone,50ms,28,63,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,836,533,271,160,147,134,149,185
In the Zone,50ms,28,64,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,836,533,271,160,147,134,149,185
In the Zone,50ms,28,65,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,824,454,294,166,165,146,147,167
In the Zone,50ms,28,66,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,861,423,315,175,176,149,156,182
In the Zone,50ms,28,67,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,859,413,348,173,192,164,166,206
In the Zone,50ms,28,68,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,774,414,367,185,176,173,184,228
In the Zone,50ms,28,69,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,729,425,371,192,170,176,205,223
In the Zone,50ms,28,70,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,752,441,395,187,172,190,234,235
In the Zone,50ms,28,71,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,761,440,385,187,168,184,240,227
In the Zone,50ms,28,72,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,777,401,394,185,182,191,223,211
In the Zone,50ms,28,73,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,811,392,421,184,187,195,220,232
In the Zone,50ms,28,74,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,735,403,407,198,196,196,190,220
In the Zone,50ms,28,75,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,705,445,410,203,193,189,182,208
In the Zone,50ms,28,76,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,671,521,380,189,183,186,181,204
In the Zone,50ms,28,77,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,563,517,364,196,192,178,177,190
In the Zone,50ms,28,78,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,589,514,368,179,188,163,178,186
In the Zone,50ms,28,79,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,668,484,332,169,178,173,166,181
