gameName,frameRate,usageLogID,entryID,entryType,innerZoneRadius,outerZoneRadius,class,PreRampSpeed,PostRampSpeed,targetClass,userInnerRingRadius,userOuterRingRadius,emgChan1,emgChan2,emgChan3,emgChan4,emgChan5,emgChan6,emgChan7,emgChan8
In the Zone,50ms,40,0,1,,,0,0,0,,,,1434,681,533,256,182,153,171,214
In the Zone,50ms,40,1,1,,,0,0,0,,,,1623,753,585,302,187,159,177,258
In the Zone,50ms,40,2,1,,,0,0,0,,,,1653,776,611,303,165,149,180,265
In the Zone,50ms,40,3,1,,,0,0,0,,,,1565,769,593,310,145,135,171,255
In the Zone,50ms,40,4,1,,,0,0,0,,,,1695,763,602,301,146,138,169,247
In the Zone,50ms,40,5,1,,,0,0,0,,,,1562,699,551,287,165,139,167,220
In the Zone,50ms,40,6,1,,,0,0,0,,,,1775,755,554,278,183,142,168,209
In the Zone,50ms,40,7,1,,,0,0,0,,,,1784,685,570,290,192,152,184,203
In the Zone,50ms,40,8,1,,,0,0,0,,,,1592,564,524,296,201,159,192,209
In the Zone,50ms,40,9,1,,,0,0,0,,,,1432,615,470,263,172,155,178,201
In the Zone,50ms,40,10,1,,,0,0,0,,,,1208,584,422,283,166,157,167,208
In the Zone,50ms,40,11,1,,,0,0,0,,,,1150,654,369,269,173,161,156,214
In the Zone,50ms,40,12,1,,,0,0,0,,,,1113,738,354,279,175,160,142,216
In the Zone,50ms,40,13,1,,,0,0,0,,,,1217,719,396,335,185,171,153,214
In the Zone,50ms,40,14,1,,,0,0,0,,,,1085,678,469,331,189,168,168,214
In the Zone,50ms,40,15,1,,,0,0,0,,,,969,664,484,321,178,154,162,214
In the Zone,50ms,40,16,1,,,0,0,0,,,,1016,649,506,295,168,156,159,184
In the Zone,50ms,40,17,1,,,0,0,0,,,,1007,638,491,280,183,147,159,175
In the Zone,50ms,40,18,1,,,0,0,0,,,,1077,695,439,274,182,147,137,188
In the Zone,50ms,40,19,1,,,0,0,0,,,,1317,698,391,283,188,163,136,175
In the Zone,50ms,40,20,1,,,0,0,0,,,,1202,607,350,280,189,162,148,182
In the Zone,50ms,40,21,1,,,0,0,0,,,,1195,596,340,254,173,168,159,193
In the Zone,50ms,40,22,1,,,0,0,0,,,,1312,580,340,234,185,174,176,185
In the Zone,50ms,40,23,1,,,0,0,0,,,,1073,612,342,233,184,166,183,194
In the Zone,50ms,40,24,1,,,0,0,0,,,,1139,721,364,242,181,166,183,212
In the Zone,50ms,40,25,1,,,0,0,0,,,,1345,730,375,249,184,157,165,201
In the Zone,50ms,40,26,1,,,0,0,0,,,,1379,787,395,255,164,151,156,212
In the Zone,50ms,40,27,1,,,0,0,0,,,,1414,776,457,246,177,146,161,216
In the Zone,50ms,40,28,1,,,0,0,0,,,,1576,732,448,288,355,199,183,210
In the Zone,50ms,40,29,1,,,0,0,0,,,,1444,733,469,293,429,225,200,221
In the Zone,50ms,40,30,1,,,0,0,0,,,,1320,620,437,297,450,225,198,204
In the Zone,50ms,40,31,1,,,0,0,0,,,,1298,580,405,300,442,220,196,187
In the Zone,50ms,40,32,1,,,0,0,0,,,,1167,565,401,258,262,152,171,187
In the Zone,50ms,40,33,1,,,0,0,0,,,,1211,631,381,242,183,125,174,194
In the Zone,50ms,40,34,1,,,0,0,0,,,,1257,794,383,252,167,131,181,203
In the Zone,50ms,40,35,1,,,0,0,0,,,,1283,817,383,249,161,135,178,209
In the Zone,50ms,40,36,1,,,0,0,0,,,,1226,767,391,230,172,140,178,215
In the Zone,50ms,40,37,1,,,0,0,0,,,,1176,718,395,246,181,143,165,203
In the Zone,50ms,40,38,1,,,0,0,0,,,,1119,649,411,228,185,135,167,191
In the Zone,50ms,40,39,1,,,0,0,0,,,,1232,660,435,235,188,137,170,187
