gameName,frameRate,usageLogID,entryID,entryType,innerZoneRadius,outerZoneRadius,class,PreRampSpeed,PostRampSpeed,targetClass,userInnerRingRadius,userOuterRingRadius,emgChan1,emgChan2,emgChan3,emgChan4,emgChan5,emgChan6,emgChan7,emgChan8
In the Zone,50ms,49,0,1,,,0,0,0,,,,1119,517,383,196,169,159,224,290
In the Zone,50ms,49,1,1,,,0,0,0,,,,1305,555,434,202,187,149,206,331
In the Zone,50ms,49,2,1,,,0,0,0,,,,1266,564,433,201,187,144,200,320
In the Zone,50ms,49,3,1,,,0,0,0,,,,1191,535,435,183,186,147,182,299
In the Zone,50ms,49,4,1,,,0,0,0,,,,1158,533,434,181,176,136,174,314
In the Zone,50ms,49,5,1,,,0,0,0,,,,1021,512,377,174,150,131,170,282
In the Zone,50ms,49,6,1,,,0,0,0,,,,1058,451,351,178,154,141,176,263
In the Zone,50ms,49,7,1,,,0,0,0,,,,1280,508,402,192,160,140,188,283
In the Zone,50ms,49,8,1,,,0,0,0,,,,1572,515,446,210,161,154,189,259
In the Zone,50ms,49,9,1,,,0,0,0,,,,1572,515,446,210,161,154,189,259
In the Zone,50ms,49,10,1,,,0,0,0,,,,1710,483,464,200,165,155,189,256
In the Zone,50ms,49,11,1,,,0,0,0,,,,1666,474,461,183,165,146,176,271
In the Zone,50ms,49,12,1,,,0,0,0,,,,1406,443,385,157,152,146,165,280
In the Zone,50ms,49,13,1,,,0,0,0,,,,1275,436,360,166,150,152,166,272
In the Zone,50ms,49,14,1,,,0,0,0,,,,1275,436,360,166,150,152,166,272
In the Zone,50ms,49,15,1,,,0,0,0,,,,1247,441,346,171,149,159,171,269
In the Zone,50ms,49,16,1,,,0,0,0,,,,1044,440,337,210,158,154,181,272
In the Zone,50ms,49,17,1,,,0,0,0,,,,1203,520,366,210,179,160,185,307
In the Zone,50ms,49,18,1,,,0,0,0,,,,1354,599,427,210,181,153,186,339
In the Zone,50ms,49,19,1,,,0,0,0,,,,1532,608,425,200,192,152,181,336
In the Zone,50ms,49,20,1,,,0,0,0,,,,1486,632,410,173,198,147,184,303
In the Zone,50ms,49,21,1,,,0,0,0,,,,1486,632,410,173,198,147,184,303
In the Zone,50ms,49,22,1,,,0,0,0,,,,1211,505,424,177,229,136,185,245
In the Zone,50ms,49,23,1,,,0,0,0,,,,1211,505,424,177,229,136,185,245
In the Zone,50ms,49,24,1,,,0,0,0,,,,1388,494,494,196,227,134,173,254
In the Zone,50ms,49,25,1,,,0,0,0,,,,1510,531,531,227,205,156,168,260
In the Zone,50ms,49,26,1,,,0,0,0,,,,1614,543,498,221,198,149,189,278
In the Zone,50ms,49,27,1,,,0,0,0,,,,1800,627,498,233,189,156,203,306
In the Zone,50ms,49,28,1,,,0,0,0,,,,1638,636,503,266,201,149,209,329
In the Zone,50ms,49,29,1,,,0,0,0,,,,1557,610,427,246,206,135,210,311
In the Zone,50ms,49,30,1,,,0,0,0,,,,1722,674,474,253,214,158,223,338
In the Zone,50ms,49,31,1,,,0,0,0,,,,1619,672,469,248,240,160,233,341
In the Zone,50ms,49,32,1,,,0,0,0,,,,1805,724,488,221,237,181,248,371
