gameName,frameRate,usageLogID,entryID,entryType,innerZoneRadius,outerZoneRadius,class,PreRampSpeed,PostRampSpeed,targetClass,userInnerRingRadius,userOuterRingRadius,emgChan1,emgChan2,emgChan3,emgChan4,emgChan5,emgChan6,emgChan7,emgChan8
In the Zone,50ms,110,0,1,,,0,0,0,,,,2007,1044,514,472,284,256,369,586
In the Zone,50ms,110,1,1,,,0,0,0,,,,1986,1120,546,525,292,265,395,640
In the Zone,50ms,110,2,1,,,0,0,0,,,,2053,1057,519,597,319,290,403,597
In the Zone,50ms,110,3,1,,,0,0,0,,,,1797,834,546,700,355,341,435,494
In the Zone,50ms,110,4,1,,,17,157,22,,,,1751,759,542,740,434,382,504,466
In the Zone,50ms,110,5,1,,,17,161,46,,,,1819,749,532,724,460,398,529,431
In the Zone,50ms,110,6,1,,,17,139,59,,,,1628,777,506,666,432,385,474,411
In the Zone,50ms,110,7,1,,,17,146,83,,,,1723,849,516,605,516,350,465,406
In the Zone,50ms,110,8,1,,,17,150,107,,,,1976,987,559,517,439,296,404,469
In the Zone,50ms,110,9,1,,,0,0,0,,,,1992,1012,567,478,472,290,362,449
In the Zone,50ms,110,10,1,,,0,0,0,,,,2099,984,586,391,476,262,369,454
In the Zone,50ms,110,11,1,,,0,0,0,,,,1968,927,566,321,394,244,331,474
In the Zone,50ms,110,12,1,,,0,0,0,,,,1968,927,566,321,394,244,331,474
In the Zone,50ms,110,13,1,,,0,0,0,,,,1640,803,596,334,376,224,299,421
In the Zone,50ms,110,14,1,,,0,0,0,,,,1718,787,666,303,309,207,303,454
In the Zone,50ms,110,15,1,,,0,0,0,,,,1734,771,670,332,271,223,307,442
In the Zone,50ms,110,16,1,,,18,74,10,,,,1626,694,566,351,280,246,300,389
In the Zone,50ms,110,17,1,,,18,73,20,,,,1546,644,547,368,289,285,313,380
In the Zone,50ms,110,18,1,,,18,62,26,,,,1393,595,444,374,299,272,271,305
In the Zone,50ms,110,19,1,,,18,63,36,,,,1367,635,496,366,317,262,280,313
In the Zone,50ms,110,20,1,,,0,0,0,,,,1476,643,470,322,313,252,275,335
In the Zone,50ms,110,21,1,,,0,0,0,,,,1552,637,489,300,312,228,263,342
In the Zone,50ms,110,22,1,,,0,0,0,,,,1547,640,547,290,288,234,278,371
In the Zone,50ms,110,23,1,,,18,70,10,,,,1646,664,527,272,300,236,259,370
In the Zone,50ms,110,24,1,,,18,85,24,,,,1777,798,607,319,324,243,285,408
In the Zone,50ms,110,25,1,,,18,90,38,,,,1844,808,604,345,344,246,280,395
In the Zone,50ms,110,26,1,,,18,91,52,,,,1860,785,598,348,383,236,264,377
In the Zone,50ms,110,27,1,,,0,0,0,,,,1860,785,598,348,383,236,264,377
In the Zone,50ms,110,28,1,,,0,0,0,,,,1480,645,615,293,405,263,269,339
In the Zone,50ms,110,29,1,,,0,0,0,,,,1388,684,616,278,443,274,292,389
In the Zone,50ms,110,30,1,,,18,88,12,,,,1382,693,623,308,535,357,337,387
In the Zone,50ms,110,31,1,,,18,102,29,,,,1469,743,558,319,649,393,345,377
In the Zone,50ms,110,32,1,,,18,93,39,,,,1411,649,470,307,661,373,331,334
In the Zone,50ms,110,33,1,,,18,94,53,,,,1409,620,446,306,688,396,317,314
In the Zone,50ms,110,34,1,,,18,86,61,,,,1459,644,408,287,629,330,273,318
In the Zone,50ms,110,35,1,,,18,77,66,,,,1451,570,426,279,550,300,260,328
In the Zone,50ms,110,36,1,,,18,84,84,,,,1649,629,433,261,526,294,253,348
In the Zone,50ms,110,37,1,,,0,0,0,,,,1591,647,475,292,467,254,225,320
In the Zone,50ms,110,38,1,,,0,0,0,,,,1426,559,486,285,396,230,233,297
In the Zone,50ms,110,39,1,,,0,0,0,,,,1404,610,542,306,360,228,241,312
In the Zone,50ms,110,40,1,,,0,0,0,,,,1214,654,551,322,327,235,256,347
In the Zone,50ms,110,41,1,,,0,0,0,,,,1265,668,544,289,350,272,282,384
In the Zone,50ms,110,42,1,,,18,73,10,,,,1370,710,574,267,394,289,293,439
In the Zone,50ms,110,43,1,,,18,81,23,,,,1385,684,534,255,490,346,297,449
In the Zone,50ms,110,44,1,,,0,0,0,,,,1642,730,570,376,967,501,363,463
In the Zone,50ms,110,45,1,,,18,157,22,,,,1636,705,500,401,1090,499,370,438
In the Zone,50ms,110,46,1,,,0,0,0,,,,1674,730,465,426,1146,511,364,380
In the Zone,50ms,110,47,1,,,0,0,0,,,,1849,793,448,454,1135,465,373,368
In the Zone,50ms,110,48,1,,,0,0,0,,,,1759,716,365,355,692,332,312,307
In the Zone,50ms,110,49,1,,,0,0,0,,,,1670,674,426,341,620,335,295,289
In the Zone,50ms,110,50,1,,,0,0,0,,,,1549,623,428,354,537,336,292,313
In the Zone,50ms,110,51,1,,,0,0,0,,,,1361,567,478,319,463,320,270,313
In the Zone,50ms,110,52,1,,,0,0,0,,,,1127,519,511,309,465,284,249,314
In the Zone,50ms,110,53,1,,,18,75,10,,,,1416,630,486,324,472,297,264,348
In the Zone,50ms,110,54,1,,,0,0,0,,,,1500,674,551,337,513,294,258,378
In the Zone,50ms,110,55,1,,,0,0,0,,,,1500,674,497,339,497,296,247,351
In the Zone,50ms,110,56,1,,,0,0,0,,,,1500,674,497,339,497,296,247,351
In the Zone,50ms,110,57,1,,,0,0,0,,,,1281,587,445,366,472,294,224,297
In the Zone,50ms,110,58,1,,,0,0,0,,,,1359,638,386,330,435,269,223,255
In the Zone,50ms,110,59,1,,,0,0,0,,,,1367,658,370,330,444,270,212,259
In the Zone,50ms,110,60,1,,,0,0,0,,,,1479,681,408,328,454,275,227,279
In the Zone,50ms,110,61,0,0.15249,0.19941,0,0,0,17,,,1610,696,423,280,385,221,219,314
In the Zone,50ms,110,62,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1474,585,446,262,377,230,218,297
In the Zone,50ms,110,63,0,0.15249,0.19941,18,56,8,17,0.026799999999999997,0.0368,1399,534,489,275,352,214,209,275
In the Zone,50ms,110,64,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1316,569,475,258,354,209,202,312
In the Zone,50ms,110,65,0,0.15249,0.19941,18,56,8,17,0.026799999999999997,0.0368,1256,576,530,284,359,241,228,287
In the Zone,50ms,110,66,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1262,611,531,300,361,253,249,336
In the Zone,50ms,110,67,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1395,688,617,298,377,288,285,370
In the Zone,50ms,110,68,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1500,675,655,311,343,290,301,358
In the Zone,50ms,110,69,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1612,732,650,308,343,281,295,387
In the Zone,50ms,110,70,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1573,715,665,311,335,263,284,370
In the Zone,50ms,110,71,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1482,632,599,305,325,223,277,331
In the Zone,50ms,110,72,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1628,596,560,276,331,224,259,310
In the Zone,50ms,110,73,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1459,576,520,256,300,219,252,306
In the Zone,50ms,110,74,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1565,591,522,255,343,237,268,311
In the Zone,50ms,110,75,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1670,588,486,249,362,242,257,342
In the Zone,50ms,110,76,0,0.15249,0.19941,18,72,10,17,0.026799999999999997,0.0368,1608,595,504,287,348,264,273,350
In the Zone,50ms,110,77,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1676,567,471,273,360,268,268,321
In the Zone,50ms,110,78,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1654,547,467,256,293,266,262,316
In the Zone,50ms,110,79,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1394,539,452,254,274,268,264,293
In the Zone,50ms,110,80,0,0.15249,0.19941,18,57,8,17,0.026799999999999997,0.0368,1306,585,465,233,342,257,281,311
In the Zone,50ms,110,81,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1351,576,498,249,333,238,291,309
In the Zone,50ms,110,82,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1506,583,528,272,476,276,316,335
In the Zone,50ms,110,83,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1750,649,613,262,508,283,327,383
In the Zone,50ms,110,84,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1684,580,626,247,462,273,325,391
In the Zone,50ms,110,85,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1646,612,622,243,488,290,330,397
In the Zone,50ms,110,86,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1471,642,585,234,404,239,290,393
In the Zone,50ms,110,87,0,0.15249,0.19941,18,66,9,17,0.026799999999999997,0.0368,1438,597,517,280,358,251,295,364
In the Zone,50ms,110,88,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1472,596,472,284,348,256,282,332
In the Zone,50ms,110,89,0,0.15249,0.19941,18,71,10,17,0.026799999999999997,0.0368,1578,555,493,288,360,270,280,352
In the Zone,50ms,110,90,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1625,515,483,268,350,264,273,356
In the Zone,50ms,110,91,0,0.15249,0.19941,18,70,10,17,0.026799999999999997,0.0368,1668,512,471,220,363,246,273,371
In the Zone,50ms,110,92,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1681,542,468,220,346,233,269,387
In the Zone,50ms,110,93,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1546,548,433,212,348,221,245,398
In the Zone,50ms,110,94,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1591,680,403,227,352,238,267,426
In the Zone,50ms,110,95,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1520,697,392,229,344,239,247,411
In the Zone,50ms,110,96,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1569,715,384,216,345,247,247,410
In the Zone,50ms,110,97,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1674,752,451,224,314,243,289,436
In the Zone,50ms,110,98,0,0.15249,0.19941,18,85,12,17,0.026799999999999997,0.0368,1901,785,575,232,278,231,306,454
In the Zone,50ms,110,99,0,0.15249,0.19941,18,97,27,17,0.026799999999999997,0.0368,1970,800,732,240,297,253,329,504
In the Zone,50ms,110,100,0,0.15249,0.19941,18,86,36,17,0.026799999999999997,0.0368,1792,722,705,230,308,251,321,503
In the Zone,50ms,110,101,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1753,655,635,232,302,232,275,460
In the Zone,50ms,110,102,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1431,534,508,242,327,223,235,391
In the Zone,50ms,110,103,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1582,542,443,248,305,222,257,382
In the Zone,50ms,110,104,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1638,584,488,253,295,216,254,369
In the Zone,50ms,110,105,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1521,614,501,235,290,216,254,369
In the Zone,50ms,110,106,0,0.15249,0.19941,18,66,9,17,0.026799999999999997,0.0368,1529,643,543,219,293,248,282,416
In the Zone,50ms,110,107,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1346,630,547,244,319,245,257,422
In the Zone,50ms,110,108,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1398,687,563,298,337,281,276,472
