gameName,frameRate,usageLogID,entryID,entryType,innerZoneRadius,outerZoneRadius,class,PreRampSpeed,PostRampSpeed,targetClass,userInnerRingRadius,userOuterRingRadius,emgChan1,emgChan2,emgChan3,emgChan4,emgChan5,emgChan6,emgChan7,emgChan8
In the Zone,50ms,36,0,1,,,0,0,0,,,,200,116,319,290,382,194,120,126
In the Zone,50ms,36,1,1,,,0,0,0,,,,200,116,319,290,382,194,120,126
In the Zone,50ms,36,2,1,,,0,0,0,,,,226,131,351,331,376,202,134,119
In the Zone,50ms,36,3,1,,,0,0,0,,,,226,129,406,385,450,202,134,128
In the Zone,50ms,36,4,1,,,0,0,0,,,,257,142,407,462,460,217,135,123
In the Zone,50ms,36,5,1,,,0,0,0,,,,228,140,477,471,477,204,146,130
In the Zone,50ms,36,6,1,,,0,0,0,,,,217,143,472,447,462,192,145,127
In the Zone,50ms,36,7,1,,,0,0,0,,,,229,144,472,414,426,178,164,123
In the Zone,50ms,36,8,1,,,0,0,0,,,,186,127,447,339,420,151,162,124
In the Zone,50ms,36,9,1,,,0,0,0,,,,186,127,447,339,420,151,162,124
In the Zone,50ms,36,10,1,,,0,0,0,,,,180,127,429,306,448,172,148,125
In the Zone,50ms,36,11,1,,,0,0,0,,,,201,135,434,355,468,166,147,146
In the Zone,50ms,36,12,1,,,0,0,0,,,,266,138,488,427,483,185,157,151
In the Zone,50ms,36,13,1,,,0,0,0,,,,297,137,505,443,473,185,154,138
In the Zone,50ms,36,14,1,,,0,0,0,,,,294,131,474,428,441,180,156,137
In the Zone,50ms,36,15,1,,,0,0,0,,,,246,134,487,431,436,191,141,131
In the Zone,50ms,36,16,1,,,0,0,0,,,,188,129,428,421,395,193,142,122
In the Zone,50ms,36,17,1,,,0,0,0,,,,163,133,363,396,404,209,140,121
In the Zone,50ms,36,18,1,,,0,0,0,,,,175,133,340,401,431,212,139,114
In the Zone,50ms,36,19,1,,,0,0,0,,,,192,122,305,361,447,218,146,105
