gameName,frameRate,usageLogID,entryID,entryType,innerZoneRadius,outerZoneRadius,class,PreRampSpeed,PostRampSpeed,targetClass,userInnerRingRadius,userOuterRingRadius,emgChan1,emgChan2,emgChan3,emgChan4,emgChan5,emgChan6,emgChan7,emgChan8
In the Zone,50ms,226,0,1,,,17,136,19,,,,549,334,484,375,149,160,161,201
In the Zone,50ms,226,1,1,,,0,0,0,,,,564,328,507,411,147,158,165,183
In the Zone,50ms,226,2,1,,,17,146,20,,,,616,348,452,396,150,161,179,184
In the Zone,50ms,226,3,1,,,17,164,46,,,,704,379,549,317,155,153,185,192
In the Zone,50ms,226,4,1,,,0,0,0,,,,665,333,556,380,153,132,176,188
In the Zone,50ms,226,5,1,,,0,0,0,,,,677,304,537,369,143,137,169,183
In the Zone,50ms,226,6,1,,,0,0,0,,,,655,300,631,392,146,137,148,194
In the Zone,50ms,226,7,1,,,18,68,9,,,,565,286,619,391,135,145,141,195
In the Zone,50ms,226,8,1,,,0,0,0,,,,508,306,595,374,152,152,156,199
In the Zone,50ms,226,9,1,,,0,0,0,,,,463,328,540,383,147,142,161,196
In the Zone,50ms,226,10,1,,,0,0,0,,,,411,335,425,375,150,143,169,196
In the Zone,50ms,226,11,1,,,0,0,0,,,,403,313,356,366,150,136,174,174
In the Zone,50ms,226,12,1,,,0,0,0,,,,454,330,398,294,153,147,169,178
In the Zone,50ms,226,13,1,,,0,0,0,,,,454,330,398,294,153,147,169,178
In the Zone,50ms,226,14,1,,,0,0,0,,,,469,306,491,268,158,184,161,176
In the Zone,50ms,226,15,1,,,0,0,0,,,,441,283,466,259,159,176,145,180
In the Zone,50ms,226,16,1,,,0,0,0,,,,444,275,393,267,141,172,125,178
In the Zone,50ms,226,17,1,,,0,0,0,,,,423,271,343,255,144,159,119,183
In the Zone,50ms,226,18,1,,,0,0,0,,,,476,288,324,279,139,147,122,179
In the Zone,50ms,226,19,1,,,0,0,0,,,,500,304,375,307,146,154,132,173
In the Zone,50ms,226,20,1,,,0,0,0,,,,420,277,377,314,138,146,145,157
In the Zone,50ms,226,21,1,,,0,0,0,,,,428,270,373,303,124,137,146,158
In the Zone,50ms,226,22,1,,,0,0,0,,,,436,277,337,278,127,141,143,176
In the Zone,50ms,226,23,1,,,0,0,0,,,,443,281,321,269,122,149,140,183
In the Zone,50ms,226,24,1,,,0,0,0,,,,478,286,346,247,132,160,136,184
In the Zone,50ms,226,25,1,,,0,0,0,,,,468,317,383,247,136,161,136,181
In the Zone,50ms,226,26,1,,,0,0,0,,,,418,299,401,246,146,168,139,174
In the Zone,50ms,226,27,1,,,0,0,0,,,,389,261,376,232,156,167,133,159
In the Zone,50ms,226,28,1,,,0,0,0,,,,408,271,341,251,151,165,149,177
In the Zone,50ms,226,29,1,,,0,0,0,,,,387,244,336,275,162,166,149,182
In the Zone,50ms,226,30,1,,,0,0,0,,,,425,248,372,302,156,164,146,191
In the Zone,50ms,226,31,1,,,0,0,0,,,,492,278,391,304,148,167,150,216
In the Zone,50ms,226,32,1,,,0,0,0,,,,457,254,426,299,151,164,134,215
In the Zone,50ms,226,33,1,,,0,0,0,,,,479,257,400,274,141,160,135,227
In the Zone,50ms,226,34,1,,,0,0,0,,,,456,253,394,284,138,165,131,221
In the Zone,50ms,226,35,1,,,0,0,0,,,,440,258,361,291,131,148,122,211
In the Zone,50ms,226,36,1,,,0,0,0,,,,482,296,379,306,138,151,130,214
In the Zone,50ms,226,37,1,,,0,0,0,,,,475,297,359,295,140,154,138,188
In the Zone,50ms,226,38,1,,,0,0,0,,,,495,291,323,285,146,141,161,183
In the Zone,50ms,226,39,1,,,0,0,0,,,,495,291,323,285,146,141,161,183
In the Zone,50ms,226,40,1,,,0,0,0,,,,433,278,304,263,158,137,174,185
In the Zone,50ms,226,41,1,,,0,0,0,,,,413,293,315,274,154,133,164,208
In the Zone,50ms,226,42,1,,,0,0,0,,,,423,300,335,242,147,133,146,208
In the Zone,50ms,226,43,1,,,0,0,0,,,,414,292,308,219,152,133,158,197
In the Zone,50ms,226,44,1,,,0,0,0,,,,479,264,338,204,129,128,153,201
In the Zone,50ms,226,45,1,,,0,0,0,,,,585,251,354,198,136,126,156,179
In the Zone,50ms,226,46,1,,,0,0,0,,,,629,241,355,222,141,121,162,167
In the Zone,50ms,226,47,1,,,0,0,0,,,,649,246,389,262,131,121,145,175
In the Zone,50ms,226,48,1,,,0,0,0,,,,657,236,407,284,135,132,138,157
In the Zone,50ms,226,49,1,,,0,0,0,,,,657,236,407,284,135,132,138,157
In the Zone,50ms,226,50,1,,,0,0,0,,,,651,285,434,295,125,139,127,192
In the Zone,50ms,226,51,1,,,0,0,0,,,,652,300,442,293,138,144,124,186
In the Zone,50ms,226,52,1,,,0,0,0,,,,661,310,442,284,132,132,126,203
In the Zone,50ms,226,53,1,,,0,0,0,,,,655,272,428,282,131,126,128,192
In the Zone,50ms,226,54,1,,,0,0,0,,,,637,238,390,256,138,133,129,193
In the Zone,50ms,226,55,1,,,0,0,0,,,,628,216,379,222,121,123,123,182
In the Zone,50ms,226,56,1,,,0,0,0,,,,595,237,364,207,137,130,120,178
In the Zone,50ms,226,57,1,,,0,0,0,,,,535,276,395,217,137,142,131,209
In the Zone,50ms,226,58,1,,,0,0,0,,,,547,321,509,253,153,145,149,218
In the Zone,50ms,226,59,1,,,0,0,0,,,,601,346,520,260,159,153,163,224
In the Zone,50ms,226,60,1,,,17,131,18,,,,578,321,532,261,160,153,171,210
In the Zone,50ms,226,61,0,0.15249,0.19941,0,0,0,17,,,576,291,490,245,158,150,157,180
In the Zone,50ms,226,62,0,0.15249,0.19941,0,0,0,17,,,503,247,381,205,135,156,147,168
In the Zone,50ms,226,63,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,430,245,335,211,136,160,154,174
In the Zone,50ms,226,64,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,461,266,334,219,135,167,157,179
In the Zone,50ms,226,65,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,432,278,405,251,147,173,171,179
In the Zone,50ms,226,66,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,469,298,390,247,150,159,164,169
In the Zone,50ms,226,67,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,520,289,407,263,150,153,152,167
In the Zone,50ms,226,68,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,471,278,391,265,149,141,141,174
In the Zone,50ms,226,69,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,465,260,283,222,135,123,134,166
In the Zone,50ms,226,70,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,417,235,269,211,145,130,130,152
In the Zone,50ms,226,71,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,402,227,307,172,147,150,134,147
In the Zone,50ms,226,72,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,374,215,305,164,133,151,146,153
In the Zone,50ms,226,73,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,391,228,326,173,134,149,144,156
In the Zone,50ms,226,74,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,417,234,348,207,128,152,150,155
In the Zone,50ms,226,75,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,403,252,357,224,127,132,150,167
In the Zone,50ms,226,76,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,457,261,371,235,133,139,147,178
In the Zone,50ms,226,77,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,469,298,427,253,135,161,149,206
In the Zone,50ms,226,78,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,491,317,442,235,138,157,149,219
In the Zone,50ms,226,79,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,506,332,375,273,130,152,150,216
In the Zone,50ms,226,80,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,506,332,375,273,130,152,150,216
In the Zone,50ms,226,81,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,495,298,340,285,128,138,135,164
In the Zone,50ms,226,82,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,473,288,324,280,137,132,128,157
In the Zone,50ms,226,83,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,431,272,359,260,146,136,122,152
In the Zone,50ms,226,84,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,411,277,369,244,153,133,140,171
In the Zone,50ms,226,85,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,404,302,359,234,154,141,148,172
In the Zone,50ms,226,86,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,415,302,348,236,135,141,156,169
