gameName,frameRate,usageLogID,entryID,entryType,innerZoneRadius,outerZoneRadius,class,PreRampSpeed,PostRampSpeed,targetClass,userInnerRingRadius,userOuterRingRadius,emgChan1,emgChan2,emgChan3,emgChan4,emgChan5,emgChan6,emgChan7,emgChan8
In the Zone,50ms,30,0,1,,,0,0,0,,,,954,370,612,695,444,252,187,381
In the Zone,50ms,30,1,1,,,0,0,0,,,,972,388,591,682,449,247,193,348
In the Zone,50ms,30,2,1,,,0,0,0,,,,919,403,523,671,450,257,185,309
In the Zone,50ms,30,3,1,,,0,0,0,,,,1051,429,497,625,471,276,171,315
In the Zone,50ms,30,4,1,,,0,0,0,,,,915,372,427,657,435,253,181,284
In the Zone,50ms,30,5,1,,,0,0,0,,,,828,372,433,642,427,251,190,321
In the Zone,50ms,30,6,1,,,0,0,0,,,,858,329,421,560,395,211,193,318
In the Zone,50ms,30,7,1,,,0,0,0,,,,704,309,435,561,395,201,195,295
In the Zone,50ms,30,8,1,,,0,0,0,,,,793,355,474,522,391,197,184,344
In the Zone,50ms,30,9,1,,,0,0,0,,,,909,337,478,563,394,199,192,320
In the Zone,50ms,30,10,1,,,0,0,0,,,,857,339,481,566,405,222,191,361
In the Zone,50ms,30,11,1,,,0,0,0,,,,891,322,455,480,358,213,177,346
In the Zone,50ms,30,12,1,,,0,0,0,,,,1132,302,440,514,355,212,187,286
In the Zone,50ms,30,13,1,,,0,0,0,,,,1194,305,531,588,420,213,185,337
In the Zone,50ms,30,14,1,,,0,0,0,,,,1332,350,554,592,436,206,197,381
In the Zone,50ms,30,15,1,,,0,0,0,,,,1414,355,546,631,453,214,230,411
In the Zone,50ms,30,16,1,,,0,0,0,,,,1239,342,479,643,476,214,244,460
In the Zone,50ms,30,17,1,,,0,0,0,,,,1117,329,363,558,449,229,237,408
In the Zone,50ms,30,18,1,,,0,0,0,,,,1155,313,387,542,424,238,231,316
In the Zone,50ms,30,19,1,,,0,0,0,,,,1072,329,440,534,441,240,217,324
In the Zone,50ms,30,20,1,,,0,0,0,,,,946,358,492,482,448,258,214,324
In the Zone,50ms,30,21,1,,,0,0,0,,,,1021,365,541,487,430,262,215,348
In the Zone,50ms,30,22,1,,,0,0,0,,,,974,361,514,501,457,251,206,414
In the Zone,50ms,30,23,1,,,0,0,0,,,,958,346,485,512,438,259,207,408
In the Zone,50ms,30,24,1,,,0,0,0,,,,1022,338,467,553,428,245,199,409
In the Zone,50ms,30,25,1,,,0,0,0,,,,908,331,429,523,390,218,194,373
In the Zone,50ms,30,26,1,,,0,0,0,,,,752,309,479,536,382,227,204,321
In the Zone,50ms,30,27,1,,,0,0,0,,,,743,318,489,533,393,223,192,295
In the Zone,50ms,30,28,1,,,0,0,0,,,,808,323,524,511,402,237,192,285
In the Zone,50ms,30,29,1,,,0,0,0,,,,870,347,545,523,409,251,191,324
In the Zone,50ms,30,30,1,,,0,0,0,,,,957,380,505,505,389,246,191,322
In the Zone,50ms,30,31,1,,,0,0,0,,,,935,360,457,509,391,250,200,331
In the Zone,50ms,30,32,1,,,0,0,0,,,,774,339,397,510,395,249,196,308
In the Zone,50ms,30,33,1,,,0,0,0,,,,742,312,367,555,410,233,206,277
In the Zone,50ms,30,34,1,,,0,0,0,,,,679,278,396,524,404,230,204,281
In the Zone,50ms,30,35,1,,,0,0,0,,,,730,266,399,516,390,224,190,257
In the Zone,50ms,30,36,1,,,0,0,0,,,,706,276,420,561,414,226,191,263
In the Zone,50ms,30,37,1,,,0,0,0,,,,692,296,450,530,420,230,200,290
In the Zone,50ms,30,38,1,,,0,0,0,,,,705,323,490,588,441,227,210,324
In the Zone,50ms,30,39,1,,,0,0,0,,,,632,363,520,565,423,213,217,333
In the Zone,50ms,30,40,1,,,0,0,0,,,,812,386,511,523,402,206,213,367
In the Zone,50ms,30,41,1,,,0,0,0,,,,834,387,547,525,409,220,252,349
In the Zone,50ms,30,42,1,,,0,0,0,,,,994,392,546,512,411,225,258,305
In the Zone,50ms,30,43,1,,,0,0,0,,,,1123,420,531,508,421,242,268,330
In the Zone,50ms,30,44,1,,,0,0,0,,,,1022,432,554,504,434,248,272,283
In the Zone,50ms,30,45,1,,,0,0,0,,,,1162,461,573,485,417,255,217,285
In the Zone,50ms,30,46,1,,,0,0,0,,,,1028,457,482,478,401,251,198,315
In the Zone,50ms,30,47,1,,,0,0,0,,,,982,411,485,463,397,245,196,290
In the Zone,50ms,30,48,1,,,0,0,0,,,,942,375,514,429,402,245,205,328
In the Zone,50ms,30,49,1,,,0,0,0,,,,942,375,514,429,402,245,205,328
In the Zone,50ms,30,50,1,,,0,0,0,,,,758,325,495,421,404,222,221,373
In the Zone,50ms,30,51,1,,,0,0,0,,,,741,334,572,453,411,219,222,400
In the Zone,50ms,30,52,1,,,0,0,0,,,,838,325,546,503,361,220,217,395
In the Zone,50ms,30,53,1,,,0,0,0,,,,932,308,516,496,357,210,201,330
In the Zone,50ms,30,54,1,,,0,0,0,,,,932,308,516,496,357,210,201,330
In the Zone,50ms,30,55,1,,,0,0,0,,,,993,358,487,548,374,221,176,303
In the Zone,50ms,30,56,1,,,0,0,0,,,,945,382,487,540,409,244,180,301
In the Zone,50ms,30,57,1,,,0,0,0,,,,840,383,519,571,416,258,184,350
In the Zone,50ms,30,58,1,,,0,0,0,,,,872,407,501,545,443,289,190,349
In the Zone,50ms,30,59,1,,,0,0,0,,,,804,403,473,527,420,304,191,408
In the Zone,50ms,30,60,1,,,0,0,0,,,,927,487,424,552,422,296,195,447
In the Zone,50ms,30,61,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,990,486,404,538,402,304,210,426
In the Zone,50ms,30,62,0,0.15249,0.19941,0,0,0,17,0.026799999999999997,0.0368,1168,482,446,561,409,295,208,439
