SUBJ,GROUP,SESSION,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9
sub-ar06,arb,sess2,0.963000506842372,0.03649265078560568,0.0005068423720223011,0.1254325259515571,0.8416955017301038,0.0328719723183391,0.0799154334038055,0.17970401691331925,0.7403805496828753
sub-ar06,arb,sess3,0.9064685314685315,0.06555944055944056,0.027972027972027972,0.009473684210526316,0.8852631578947369,0.10526315789473684,0.045346062052505964,0.008353221957040573,0.9463007159904535
sub-ar06,arb,sess4,0.9325946445060018,0.060941828254847646,0.006463527239150508,0.005747126436781609,0.9666666666666667,0.027586206896551724,0.06967213114754098,0.015368852459016393,0.9149590163934426
sub-ar06,arb,sess5,0.9635173058933583,0.03648269410664172,0.0,0.0625,0.91125,0.02625,0.06673960612691467,0.012035010940919038,0.9212253829321663
sub-ar06,arb,sess6,0.9006564551422319,0.07177242888402625,0.027571115973741796,0.011972633979475485,0.9344355758266819,0.053591790193842644,0.04884742041712404,0.02305159165751921,0.9281009879253568
sub-ar07,arb,sess2,0.8569948186528498,0.14093264248704662,0.002072538860103627,0.19033760186263096,0.7694994179278231,0.040162980209545986,0.15361293582617483,0.010611419909044972,0.8357756442647802
sub-ar07,arb,sess3,0.9127086007702182,0.0834403080872914,0.0038510911424903724,0.20213713268032057,0.7622439893143366,0.03561887800534283,0.14818355640535372,0.0057361376673040155,0.8460803059273423
sub-ar07,arb,sess4,0.9596244131455399,0.04037558685446009,0.0,0.024494142705005325,0.9318423855165069,0.043663471778487756,0.048728813559322036,0.011652542372881356,0.9396186440677966
sub-ar07,arb,sess5,0.9534632034632035,0.045454545454545456,0.0010822510822510823,0.22302158273381295,0.7467625899280576,0.030215827338129497,0.12295081967213115,0.012295081967213115,0.8647540983606558
sub-ar07,arb,sess6,0.9498389323515877,0.04786010124252186,0.002300966405890474,0.03322784810126582,0.7141350210970464,0.25263713080168776,0.0716820440028389,0.0042583392476933995,0.9240596167494677
sub-ar08,arb,sess2,0.9645966337782936,0.034822983168891465,0.0005803830528148578,0.15420081967213115,0.8119877049180327,0.03381147540983607,0.12494039103481164,0.05484024797329518,0.8202193609918932
sub-ar08,arb,sess3,0.9507620164126612,0.0492379835873388,0.0,0.4224299065420561,0.4373831775700935,0.14018691588785046,0.18309859154929578,0.028169014084507043,0.7887323943661971
sub-ar08,arb,sess4,0.9690927218344965,0.03090727816550349,0.0,0.024364406779661018,0.9364406779661016,0.03919491525423729,0.09356136820925554,0.011066398390342052,0.8953722334004024
sub-ar08,arb,sess5,0.9762845849802372,0.023715415019762844,0.0,0.006417112299465241,0.9315508021390374,0.06203208556149733,0.09164969450101833,0.026476578411405296,0.8818737270875764
sub-ar08,arb,sess6,0.9571428571428572,0.04055299539170507,0.002304147465437788,0.000550357732526142,0.9686296092460099,0.030820033021463952,0.04794885455514118,0.0005327650506126798,0.9515183803942462
sub-ar09,arb,sess2,0.8588818755635708,0.11406672678088368,0.027051397655545536,0.14295257181028725,0.539746158984636,0.31730126920507684,0.1174061433447099,0.0696245733788396,0.8129692832764505
sub-ar09,arb,sess3,0.7551963048498845,0.21862971516551194,0.02617397998460354,0.029548989113530325,0.9331259720062208,0.03732503888024884,0.0890890890890891,0.04104104104104104,0.8698698698698699
sub-ar09,arb,sess4,0.9579487179487179,0.04205128205128205,0.0,0.4344569288389513,0.5655430711610487,0.0,0.16448032290615539,0.024217961654894045,0.8113017154389506
